Signal Name,Pin Number,Type,Enum
USB_C0_PPC_RST_L,F4,OUTPUT,
USB_C0_TCPC_INT_ODL,C1,INPUT_L,GPIO_USB_C0_TCPC_INT_ODL
USB_C0_PPC_INT_ODL,J3,INPUT_L,GPIO_USB_C0_PPC_INT_ODL
USB_C0_C1_FAULT_ODL,L12,INPUT_PU,
USB_C0_HPD,H2,OUTPUT,GPIO_USB_C0_DP_HPD
SOC_USBC_PD_INT,K12,INPUT,
USB_C1_TCPC_INT_ODL,B2,INPUT_L,GPIO_USB_C1_TCPC_INT_ODL
USB_C1_PPC_INT_ODL,J4,INPUT_L,GPIO_USB_C1_PPC_INT_ODL
USB_C1_HPD,J2,OUTPUT,GPIO_USB_C1_DP_HPD
EC_FAN1_PWM,G9,PWM,
EC_FAN1_SPEED,E5,INPUT,
EC_FAN2_PWM,H10,PWM,
EC_FAN2_SPEED,G5,INPUT,
EC_PWM_KB_BL,G8,PWM,
EC_PWM_LED_CHRG_L,K5,PWM_INVERT,
EC_PWM_LED_FULL_L,L9,PWM_INVERT,
EC_BAT_PRES_ODL,E11,INPUT,GPIO_BATT_PRES_ODL
CCD_MODE_ODL,J7,OUTPUT_ODL,GPIO_CCD_MODE_ODL
EC_GSC_PACKET_MODE_ODL,H8,OUTPUT_ODL,GPIO_PACKET_MODE_EN
3AXIS_INT_L,F12,INPUT_PU,
6AXIS_INT_L,G11,INPUT_PU,
TABLET_MODE,H9,INPUT,GPIO_TABLET_MODE_L
VOLUP_BTN_ODL,E2,INPUT_PU,GPIO_VOLUME_UP_L
VOLDN_BTN_ODL,D3,INPUT_PU,GPIO_VOLUME_DOWN_L
EN_KB_BL,H5,OUTPUT,GPIO_EN_KEYBOARD_BACKLIGHT
EC_SOC_PWR_GOOD,M11,OUTPUT_ODR,
PG_GROUPC_S0_OD,L10,INPUT,
PG_LPDDR5_S3_OD,F3,INPUT,
PG_VDDQ_MEM_OD,H11,INPUT_PU,
PG_PWR_S5,D5,INPUT,
PG_PCORE_S0_R_OD,G3,INPUT,GPIO_S0_PGOOD
EN_PWR_PCORE_S0,A11,OUTPUT,
EN_PWR_S0,A12,OUTPUT,
EN_PWR_S5,H6,OUTPUT,GPIO_EN_PWR_A
SLP_S3_L,K4,INPUT,GPIO_PCH_SLP_S3_L
SLP_S5_L,M4,INPUT,GPIO_PCH_SLP_S5_L
EC_PROCHOT_ODL,A9,OUTPUT_ODL,GPIO_CPU_PROCHOT
SOC_ALERT_EC_ODL,E10,INPUT,
SOC_THERMTRIP_R_ODL,M12,INPUT,
EC_SYS_RST_L,J6,OUTPUT,GPIO_SYS_RESET_L
EC_SOC_RSMRST_L,K11,OUTPUT,GPIO_PCH_RSMRST_L
EC_SOC_INT,G6,OUTPUT,GPIO_EC_INT_L
EC_SOC_WAKE_ODL,D2,OUTPUT_ODL,
EC_SOC_PWR_BTN_ODL,L11,OUTPUT_ODL,GPIO_PCH_PWRBTN_L
EC_DISABLE_DISP_BL,D8,OUTPUT,GPIO_ENABLE_BACKLIGHT
EC_WP_L,J11,INPUT_L,
TEMP_CHG,F2,ADC,ADC_TEMP_SENSOR_CHARGER
TEMP_MEM,E3,ADC,ADC_TEMP_SENSOR_MEMORY
UART_EC_TX_DBG_RX_R,H4,OTHER,
UART_EC_RX_DBG_TX_R,G4,OTHER,
EC_C1_RETIMER_INT_ODL,E8,INPUT,
EC_C1_RETIMER_RST_ODL,D9,OUTPUT_ODL,
EC_C0_RETIMER_INT_ODL,G12,INPUT_PU,
EC_C0_RETIMER_RST_L,E9,OUTPUT,
USB_C0_FRS_ALERT_OD,D10,INPUT,
EN_PP5000_USB_A0_VBUS,G2,OUTPUT,
EN_PP5000_USB_A1_VBUS,D7,OUTPUT,
USB_C0_SBU_FLIP,F7,OUTPUT_ODL,
EN_USB_A1_RETIMER,K2,OUTPUT,
USB_A1_RETIMER_RST_L,E4,OUTPUT,
USB_C1_FRS_ALERT_OD,F10,INPUT,
EN_USB_C0_TCPC_VBSNK_L,H7,OUTPUT_ODL,
ACOK_OD,E7,INPUT,GPIO_AC_PRESENT
LID_OPEN,E6,INPUT,GPIO_LID_OPEN
EC_MECH_PWR_BTN_ODL,G7,INPUT,GPIO_POWER_BUTTON_L
PG_PPVAR_MEM_OD,J5,INPUT,
EN_PWR_Z1,J8,OUTPUT,
EC_KSO_02_INV,B7,OUTPUT_L,GPIO_KBD_KSO2
