Signal Name,Pin Number,Type,Enum
USB_C1_BC12_INT_ODL,G10,INPUT,GPIO_USB_C1_BC12_INT_ODL
ESPI_SOC_CS0_L,L2,OTHER,
ESPI_SOC_RESET_L,K3,OTHER,
ESPI_SOC_CLK,M1,OTHER,
EC_IMU_INT_R_L,M2,INPUT_PU,
ESPI_SOC_IO0,H1,OTHER,
ESPI_SOC_IO1,J1,OTHER,
ESPI_SOC_IO2,K1,OTHER,
ESPI_SOC_IO3,L1,OTHER,
ESPI_SOC_ALERT_L_R,L3,OTHER,
EC_VOLDN_BTN_ODL,E11,INPUT_PU,GPIO_VOLUME_DOWN_L
TABLET_MODE_L,M12,INPUT_PU,GPIO_TABLET_MODE_L
SOCHOT_ODL,G12,INPUT,
EC_VOLUP_BTN_ODL,L10,INPUT_PU,GPIO_VOLUME_UP_L
USB_C0_RT_INT_ODL,G11,INPUT,
EC_WP_L,L12,INPUT,
EC_BATT_PRES_ODL,K12,INPUT,GPIO_BATT_PRES_ODL
CPU_C10_GATE_L,J11,INPUT,
SOC_PWROK,K11,OUTPUT,
EC_SOC_RSMRST_L,F11,OUTPUT,
SYS_PWROK,L11,OUTPUT,
EC_SPARE_GPIO94,M11,OUTPUT,
EC_SPARE_GPIOA2,F12,OUTPUT,
EC_SPARE_GPIOA4,H11,OUTPUT,
EC_ACCEL_INT_R_L,M7,INPUT,
SLP_S3_LS_L,C2,INPUT,
IMVP92_VRRDY_OD,E2,INPUT,
EC_PROCHOT_IN_L,D2,INPUT,
EC_SPARE_GPIO42,D3,OUTPUT,
TEMP_SENSOR_2,E3,ADC,ADC_TEMP_SENSOR_2
TEMP_SENSOR_1,F2,ADC,ADC_TEMP_SENSOR_1
TEMP_SENSOR_4,F3,ADC,ADC_TEMP_SENSOR_4
TEMP_SENSOR_3,G3,ADC,ADC_TEMP_SENSOR_3
SYS_RST_ODL,H7,INPUT,
EC_SOC_WAKE_R_ODL,H8,OUTPUT_ODL,
EC_PROCHOT_ODL,J2,OUTPUT_ODR,
EC_SOC_INT_ODL,J4,OUTPUT_ODL,GPIO_EC_INT_L
EC_SOC_RTCRST,J5,OUTPUT_ODR,
EC_SOC_PWR_BTN_ODL,H9,OUTPUT_ODL,GPIO_PCH_PWRBTN_L
USB_C0_RT_3P3_SX_EN,D9,OUTPUT_ODR,
KSO_13,D11,OTHER,
KSO_12,C11,OTHER,
KSO_11,B10,OTHER,
KSO_10,B11,OTHER,
KSO_09,C10,OTHER,
KSO_08,C9,OTHER,
KSO_05,C6,OTHER,
KSO_04,C7,OTHER,
KSO_03,B8,OTHER,
EC_KSO_02_INV,B7,OUTPUT_L,
KSO_01,B6,OTHER,
KSO_00,B5,OTHER,
KSI_07,C5,OTHER,
KSI_06,C4,OTHER,
KSI_05,C3,OTHER,
KSI_04,B4,OTHER,
EC_KSI_03,B3,OTHER,
EC_KSI_02,A4,OTHER,
KSI_01,A3,OTHER,
EC_KSI_00,A2,OTHER,
EC_I2C_BAT_SCL,D5,I2C_CLOCK,I2C_PORT_BATTERY
USB_C1_TCPC_INT_ODL,B2,INPUT,GPIO_USB_C1_TCPC_INT_ODL
EC_I2C_BAT_SDA,D4,I2C_DATA,
USB_C1_RST_ODL,C1,OUTPUT_ODL,
EC_FAN_TACH,E5,TACH,
LED_4_L,G6,OUTPUT,
EN_PP5000_FAN,K4,OUTPUT_ODR,
USB_C0_PPC_INT_ODL,H2,INPUT,GPIO_USB_C0_PPC_INT_ODL
UART_GSC_DBG_TX_EC_RX_R,G4,OTHER,
EC_SPARE_GPIO66,G2,OUTPUT,
USB_C0_TCPC_RST_ODL,J3,OUTPUT_ODL,
USB_C1_RT_INT_ODL,M4,INPUT_PU,
EC_CBI_WP,G5,OUTPUT,
USB_C1_RT_RST_R_ODL,H5,OUTPUT_ODL,
EC_GSC_PACKET_MODE,J6,OUTPUT_ODR,GPIO_PACKET_MODE_EN
EC_KB_BL_PWM,K5,PWM,GPIO_EN_KEYBOARD_BACKLIGHT
KSO_14,D6,OTHER,
USB_C1_FRS_EN,D7,OUTPUT_ODR,
EC_I2C_USB_C0_TCPC_SDA,K7,I2C_DATA,
EC_I2C_USB_C0_TCPC_SCL,K8,I2C_CLOCK,I2C_PORT_USB_C0_TCPC
EC_I2C_USB_C0_PPC_BC_SDA,K9,I2C_DATA,
EC_I2C_USB_C0_PPC_BC_SCL,L8,I2C_CLOCK,I2C_PORT_PPC0
EC_IMVP92_EN_SMB,D8,OUTPUT,
EC_I2C_MISC_SDA,K10,I2C_DATA,
EC_I2C_MISC_SCL,J10,I2C_CLOCK,I2C_PORT_EEPROM
EC_I2C_SENSOR_SDA,B12,I2C_DATA,
EC_I2C_SENSOR_SCL,C12,I2C_CLOCK,I2C_PORT_SENSOR
EN_S5_RAILS,L9,OUTPUT_ODR,
FAN_PWM,J7,PWM,
LED_3_L,H10,OUTPUT,
LED_2_L,G9,OUTPUT,
LED_1_L,G8,OUTPUT,
USB_C0_BC12_INT_ODL,D10,INPUT,GPIO_USB_C0_BC12_INT_ODL
EC_SPARE_GPIOC7,F10,OUTPUT,
EC_I2C_USB_C0_RT_SDA,F9,I2C_DATA,
EC_I2C_USB_C0_RT_SCL,F8,I2C_CLOCK,I2C_PORT_USB_C0_RT
EC_EDP_BL_EN,E10,OUTPUT_ODR,GPIO_ENABLE_BACKLIGHT
EC_ALS_RGB_INT_R_L,A9,INPUT_PU,
SYS_SLP_S0IX_3V3_L,A10,INPUT,
USB_C0_TCPC_INT_ODL,F4,INPUT,GPIO_USB_C0_TCPC_INT_ODL
SEQ_EC_RSMRST_ODL,A11,INPUT,
EC_I2C_USB_C1_MIX_SDA,L7,I2C_DATA,
EC_I2C_USB_C1_MIX_SCL,L6,I2C_CLOCK,I2C_PORT_USB_1_MIX
CCD_MODE_ODL,A12,OUTPUT_ODL,GPIO_CCD_MODE_ODL
EC_I2C_USB_C1_TCPC_SDA,F6,I2C_DATA,
