Signal Name,Pin Number,Type,Enum
USB_C1_BC12_INT_ODL,G10,INPUT,
ESPI_SOC_CS0_L,L2,OTHER,
ESPI_SOC_RESET_L,K3,OTHER,
ESPI_SOC_CLK,M1,OTHER,
EC_IMU_INT_R_L,M2,INPUT_PU,
ESPI_SOC_IO0,H1,OTHER,
ESPI_SOC_IO1,J1,OTHER,
ESPI_SOC_IO2,K1,OTHER,
ESPI_SOC_IO3,L1,OTHER,
ESPI_SOC_ALERT_L_R,L3,OTHER,
EC_VOLDN_BTN_ODL,E11,INPUT_PU,GPIO_VOLUME_DOWN_L
TABLET_MODE_L,M12,INPUT_PU,GPIO_TABLET_MODE_L
SOCHOT_ODL,G12,INPUT,
EC_VOLUP_BTN_ODL,L10,INPUT_PU,GPIO_VOLUME_UP_L
USB_C0_RT_INT_ODL,G11,INPUT,
EC_WP_L,L12,INPUT,
EC_BATT_PRES_ODL,K12,INPUT,GPIO_BATT_PRES_ODL
CPU_C10_GATE_L,J11,INPUT,
SOC_PWROK,K11,OUTPUT,
EC_SOC_RSMRST_L,F11,OUTPUT,
SYS_PWROK,L11,OUTPUT,
SLP_S3_LS_L,C2,INPUT,
IMVP92_VRRDY_OD,E2,INPUT,
EC_PROCHOT_IN_L,D2,INPUT,
TEMP_SENSOR_2,E3,ADC,ADC_TEMP_SENSOR_2
TEMP_SENSOR_1,F2,ADC,ADC_TEMP_SENSOR_1
TEMP_SENSOR_4,F3,ADC,ADC_TEMP_SENSOR_4
TEMP_SENSOR_3,G3,ADC,ADC_TEMP_SENSOR_3
SYS_RST_ODL,H7,INPUT,
EC_SOC_WAKE_R_ODL,H8,OUTPUT_ODL,
EC_PROCHOT_ODL,J2,OUTPUT_ODL,
EC_SOC_INT_ODL,J4,OUTPUT_ODL,GPIO_EC_INT_L
EC_SOC_RTCRST,J5,OUTPUT_ODR,
EC_SOC_PWR_BTN_ODL,H9,OUTPUT_ODL,GPIO_PCH_PWRBTN_L
USB_C0_RT_3P3_SX_EN,D9,OUTPUT_ODR,
KSO_13,D11,OTHER,
KSO_12,C11,OTHER,
KSO_11,B10,OTHER,
KSO_10,B11,OTHER,
KSO_09,C10,OTHER,
KSO_08,C9,OTHER,
KSO_05,C6,OTHER,
KSO_04,C7,OTHER,
KSO_03,B8,OTHER,
EC_KSO_02_INV,B7,OUTPUT_L,
KSO_01,B6,OTHER,
KSO_00,B5,OTHER,
KSI_07,C5,OTHER,
KSI_06,C4,OTHER,
KSI_05,C3,OTHER,
KSI_04,B4,OTHER,
EC_KSI_03,B3,OTHER,
EC_KSI_02,A4,OTHER,
KSI_01,A3,OTHER,
EC_KSI_00,A2,OTHER,
EC_I2C_BAT_SCL,D5,I2C_CLOCK,I2C_PORT_BATTERY
USB_C1_TCPC_INT_ODL,B2,INPUT,
EC_I2C_BAT_SDA,D4,I2C_DATA,
USB_C1_RST_ODL,C1,OUTPUT_ODL,
EC_FAN_TACH,E5,TACH,
LED_4_L,G6,PWM_INVERT,
EN_PP5000_FAN,K4,OUTPUT_ODR,
USB_C0_PPC_INT_ODL,H2,INPUT,
UART_GSC_DBG_TX_EC_RX_R,G4,OTHER,
USB_C0_TCPC_RST_ODL,J3,OUTPUT_ODL,
USB_C1_RT_INT_ODL,M4,INPUT_PU,
USB_C1_RT_RST_R_ODL,H5,OUTPUT_ODL,
EC_GSC_PACKET_MODE,J6,OUTPUT_ODR,GPIO_PACKET_MODE_EN
EC_KB_BL_PWM,K5,PWM,GPIO_EN_KEYBOARD_BACKLIGHT
KSO_14,D6,OTHER,
USB_C1_FRS_EN,D7,OUTPUT_ODR,
EC_I2C_USB_C0_TCPC_SDA,K7,I2C_DATA,
EC_I2C_USB_C0_TCPC_SCL,K8,I2C_CLOCK,
EC_I2C_USB_C0_PPC_BC_SDA,K9,I2C_DATA,
EC_I2C_USB_C0_PPC_BC_SCL,L8,I2C_CLOCK,
EC_I2C_MISC_SDA,K10,I2C_DATA,
